VendorName,ModelName,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
honeywell,dps:8/50,140,2000,8000,32,1,54,66,57
honeywell,dps:8/52,140,2000,32000,32,1,54,141,181
honeywell,dps:8/62,140,2000,32000,32,1,54,189,181
honeywell,dps:8/20,140,2000,4000,8,1,20,22,32
ibm,3033:s,57,4000,16000,1,6,12,132,82
ibm,3033:u,57,4000,24000,64,12,16,237,171
ibm,3081,26,16000,32000,64,16,24,465,361
ibm,3081:d,26,16000,32000,64,8,24,465,350
ibm,3083:b,26,8000,32000,0,8,24,277,220
ibm,3083:e,26,8000,16000,0,8,16,185,113
ibm,370/125-2,480,96,512,0,1,1,6,15
ibm,370/148,203,1000,2000,0,1,5,24,21
ibm,370/158-3,115,512,512,0,4,16,24,24
ibm,38/3,98,256,6000,0,4,8,20,19
ibm,38/4,98,256,6000,0,4,8,29,23
ibm,38/5,98,256,6000,0,4,8,33,24
ibm,38/7,98,512,16000,0,4,8,63,43
ipl,ip:2850,180,1000,4000,0,1,2,20,24
ipl,ip:3500,180,1000,4000,0,1,2,35,28
ipl,ip:3600,180,1000,4000,0,1,2,40,24
ipl,ip:3755,180,1000,8000,0,1,2,40,29
ipl,ip:4341,180,1000,8000,0,1,2,50,33
ipl,ip:4381,180,1000,8000,0,1,2,57,34
magnuson,dataframe:4670,65,1000,1000,0,1,2,10,15
magnuson,dataframe:4680,65,2000,2000,0,1,2,20,25
microdata,1000/80-3,500,512,3000,0,3,8,41,47
microdata,1000/OS,500,512,5000,0,3,8,74,45
nas,as/3000,140,512,3500,8,1,8,22,31
nas,as/3000-n,140,512,7500,8,1,8,28,45
nas,as/5000,140,512,4000,8,1,8,49,53
nas,as/5000-e,140,512,4000,8,1,8,66,53
nas,as/6130,200,1000,2000,0,3,10,14,22
nas,as/6140,200,2000,4000,8,3,10,52,49
ncr,68/10,50,512,2000,0,1,2,30,21
ncr,68/20,50,1024,4000,0,2,8,33,23
ncr,68/30,50,2048,8000,0,2,8,47,33
ncr,68/40,50,4096,16000,0,2,8,53,47
ncr,8200,50,4096,16000,0,2,8,46,50
nixdorf,8890/30,60,768,3000,0,2,2,20,24
nixdorf,8890/50,60,768,3000,0,2,2,21,24
perkin-elmer,3205,26,512,5000,0,4,16,14,19
perkin-elmer,3210,26,512,8000,0,5,24,20,28
perkin-elmer,3230,50,512,5000,0,4,24,14,21
perkin-elmer,3240,50,512,8000,0,5,24,20,28
prime,300,50,384,1000,0,1,4,20,12
prime,400,50,384,1000,0,1,4,32,22
prime,500,50,384,1000,0,1,4,32,14
siemens,7.521,60,512,2000,0,1,4,14,19
siemens,7.531,60,512,4000,0,1,4,20,23
siemens,7.536,60,1024,4000,0,1,4,25,23
siemens,7.541,60,512,2000,0,1,4,14,19
siemens,7.551,60,512,4000,0,1,4,20,23
siemens,7.556,60,1024,4000,0,1,4,25,23
sperry,80/6,195,512,2000,8,1,2,24,24
sperry,90/80-model-3,25,1000,4000,0,3,8,22,28
sperry,90/80-model-4,25,1000,4000,0,3,8,22,28
sperry,90/80-model-5,25,1000,8000,0,3,8,29,32
sperry,90/80-model-6,25,1000,8000,0,3,8,29,32
sperry,90/80-model-7,25,1000,8000,0,3,8,29,32
sperry,90/80-model-8,25,1000,8000,0,3,8,40,42
sratus,200,320,512,2000,4,1,6,22,24
sratus,200/300,320,512,2000,4,1,6,22,24
sratus,300,320,512,2000,4,1,6,23,24
sratus,400,320,512,2000,4,1,6,24,24
sratus,600,320,1024,4000,4,1,6,42,36
sratus,6000,320,1024,4000,4,1,6,46,42
sratus,800,320,1024,4000,4,1,6,46,42
sratus,8000,320,1024,8000,4,1,6,65,52
tandem,16/12,190,131,393,0,1,6,6,24
tandem,16/14,190,131,393,0,1,6,6,24
tandem,16/16,190,131,393,0,1,6,6,24
tandem,16/2,190,131,393,0,1,6,6,24
tandem,16/23,190,131,393,0,1,6,6,24
tandem,16/26,190,131,393,0,1,6,6,24
tandem,16/3,190,131,393,0,1,6,6,24
tandem,16/30,190,131,393,0,1,6,6,24
tandem,16/32,190,131,393,0,1,6,6,24
tandem,16/34,190,131,393,0,1,6,6,24
tandem,16/36,190,131,393,0,1,6,6,24
tandem,16/38,190,131,393,0,1,6,6,24
tandem,16/4,190,131,393,0,1,6,6,24
tandem,16/44,190,131,393,0,1,6,6,24
tandem,16/46,190,131,393,0,1,6,6,24
tandem,16/48,190,131,393,0,1,6,6,24
tandem,16/5,190,131,393,0,1,6,6,24
tandem,16/50,190,131,393,0,1,6,6,24
tandem,16/6,190,131,393,0,1,6,6,24
tandem,16/64,190,131,393,0,1,6,6,24
tandem,16/8,190,131,393,0,1,6,6,24
tandem,16/9,190,131,393,0,1,6,6,24
tandem,16/9a,190,131,393,0,1,6,6,24
wang,vs-100,480,500,1000,0,1,4,8,10
wang,vs-90,480,1000,4000,0,1,8,32,32
wang,vs-100,480,2000,8000,0,1,8,32,32
